initials	subj	item	cond	question	response
M V	1	35	c	کبوتر تخم در لانه گذاشت	7
M V	1	36	c	پونه سرما زیر باران خورد	1
M V	1	1	filler	من و بهاره دیروز با هم به مدرسه رفتیم	7
M V	1	2	filler	بالاخره داریوش تصمیم گرفت ماشینش را بفروشد	7
M V	1	3	filler	دیشب مهمانیِ دوستِ خواهرم خیلی خوش گذشت	7
M V	1	4	filler	آیدا باید همه‏ ی لباس‏ هایش را می‏ شست	7
M V	1	5	filler	احمد به امید فوتِ پدرش را تسلیت گفت	7
M V	1	6	filler	من دیروز همه ‏ی کلوچه ‏ها را خوردم	7
M V	1	7	filler	من با کمکِ همسایه دیوارِ حیاط را رنگ کردم	7
M V	1	8	filler	من در کودکی خیلی شیطنت می‏ کردم	7
M V	1	9	filler	من دیروز با شریکم قرار گذاشتم	7
M V	1	10	filler	پریناز دیشب به جشنِ تولدِ دوستش رفت	7
M V	1	11	filler	بعد از رفتن پروین آب از آب تکان نخورد	7
M V	1	12	filler	نظم این خانه قابل احترام است	7
M V	1	13	filler	دکتر گفت می‏ توانم ورزش کنم	7
M V	1	14	filler	من همیشه از هواپیما می ‏ترسیدم	7
M V	1	15	filler	سیامک روزبه را بخشید	7
M V	1	16	filler	پدرِ کیوان ورشکست شد	7
M V	1	17	filler	معلم حسابی تشویقم کرد	7
M V	1	18	filler	همکلاسیِ من خیلی درس می‏ خواند	7
M V	1	19	filler	غزاله دیروز ساعت‏ ها رویِ نیمکتِ پارک نشست	7
M V	1	20	filler	تو آدم بی‏ ملاحظه‏ ای هستی	7
M V	1	21	filler	زهره در دانشگاهِ آزاد پارسال قبول شد	7
M V	1	22	filler	من دیشب به خانه دوستانم را دعوت کردم	5
M V	1	23	filler	افسانه  از چیزی هیچ وقت شکایت نمی‏ کرد	6
M V	1	24	filler	نوید تصمیم گرفت برود به سربازی	7
M V	1	25	filler	خواب عمیقی دیشب کردم	7
M V	1	26	filler	من دیروز نخریدم هیچ لباسی	6
M V	1	27	filler	دیروز نتوانست داوود سر کار برود	5
M V	1	28	filler	زیاد الهه از قبولیش در دانشگاه خوشحال نبود	5
M V	1	29	filler	به خانه دخترخاله‏ ام دیشب رفته‏ بودم	7
M V	1	30	filler	به رستورانِ همیشگی رفتم من	7
M V	1	31	filler	به خاطرِ من پروانه تلویزیون را خاموش کرد	7
M V	1	32	filler	سهیل تصمیم گرفته بود که در جریان مادرش را بگذارد	1
M V	1	33	filler	خیلی آهنگ پیمان در من اثر گذاشت	6
M V	1	34	filler	پشتکار خوبی مهرداد دارد	5
M V	1	35	filler	من تماس با دوستم در لندن گرفتم	6
M V	1	36	filler	من فوتبالیست هیچ‏ وقت خوبی نبودم	2
M V	1	37	filler	ما زیر باران موش آب‏ کشیده آن شب شدیم	5
M V	1	38	filler	دیروز غذا مادرم نپخته بود	6
M V	1	39	filler	تمامِ روز را میلاد رانندگی کرد	7
M V	1	40	filler	من زود دیروز به خانه برگشتم	6
M V	1	41	filler	بیژن رادیو اهلِ نیست	1
M V	1	42	filler	"42.	شهاب و آوا  از با هم شمال برگشتند"	1
M V	1	43	filler	فرید از کار پشیمان خود نبود	1
M V	1	44	filler	با دیروز دوستانم به رستوران رفتم	1
M V	1	45	filler	محمود خرید مسئول خواروبار بود	1
M V	1	46	filler	شیما گم زمان را کرده بود	1
M V	1	47	filler	من مونا را دیده همین تازگی ‏ بودم	1
M V	1	48	filler	محمد یک به زهرا انگشتر هدیه داد	1
M V	1	49	filler	دیشب زیاد اشتها آزاده نداشت	3
M V	1	50	filler	من از خوشم شوخیِ دیروزِ سحر نیامد	1
M V	1	51	filler	چشم‏های قرمز فریبا شده بود	1
M V	1	52	filler	متوجه هانیه اشتباهش شد	1
M V	1	53	filler	ابراهیم همان را ادامه کار قدیمی داد	1
M V	1	54	filler	فهیمه سر دو هفته پیش کار نرفت	1
M V	1	55	filler	دختر خوش ژاله ‏سلیقه ‏ای است	1
M V	1	56	filler	برای من اصلا برادرم اهمیت ندارم	1
M V	1	57	filler	من مشکل آدم ‏پسندی هستم	7
M V	1	58	filler	پدر کیوان محکمی مرد ‏است	2
M V	1	59	filler	برگشتنم عجیب برای همه بود	6
M V	1	60	filler	خانه ی خیلی مادربزرگم قدیمی است	1
M Gh	2	1	a	رئیسم مرا اخراج از کار کرد	7
M Gh	2	2	a	همکارم نامه ای ارسال به من کرد	6
M Gh	2	3	a	مدیرعامل کارمندان جدیدی استخدام در شرکت کرد	6
M Gh	2	4	a	دوستم در مورد این خبر اطلاع به من داد	7
M Gh	2	5	a	استادم نظرش را در مورد این مقاله اظهار به من کرد	5
M Gh	2	6	a	دانشمندان موادی استخراج از نفت کردند	5
M Gh	2	7	a	رستوران جدیدی افتتاح در محل شد	6
M Gh	2	8	a	دخترم کار خود را آغاز در شرکت کرد	5
M Gh	2	9	a	پدر مرا صبح زود بیدار از خوا ب کرد	6
M Gh	2	10	a	دوستم سعی می کرد مرا تحریک با حرفهایش کند	5
M Gh	2	11	a	نسرین بالاخره توانست تحقق به آرزویش ببخشد	1
M Gh	2	12	a	همسرم دائم نظرش را تحمیل به من می کرد	6
M Gh	2	13	a	مشاور آینده روشنی را ترسیم برای من کرد	5
M Gh	2	14	a	شریکم سود شرکت را تقسیم با من کرد	7
M Gh	2	15	a	کارگردان انتقادی دریافت در مورد فیلم کرد	3
M Gh	2	16	a	یگان ویژه اعضای مافیا را محاصره با مهارت کرد	5
M Gh	2	17	a	او در مراسم ظاهر با اعتماد به نفس شد	3
M Gh	2	18	a	مجلس قانونی تصویب برای خانواده کرد	6
M Gh	2	19	a	مربی شانس بازیِ دوباره را دریغ از من کرد	7
M Gh	2	20	a	آوا فرزندش را ترجیح به مادرش داد	7
M Gh	2	21	a	ویراستار به سلیقه خود تصرف در کتاب کرد	7
M Gh	2	22	a	هنگامه پولی واریز برای من کرد	6
M Gh	2	23	a	من دیروز عیادت از خاله ام کردم	7
M Gh	2	24	a	پسرخاله ام اعزام به سربازی شد	7
M Gh	2	25	a	مادر سمیه حسابی تدارک برای مراسم دید	7
M Gh	2	26	a	مداح آیه ای قرائت از قرآن کرد	6
M Gh	2	27	a	پدر کودکش را حفاظت از خطر کرد	6
M Gh	2	28	a	معلم نکات آموزنده ای تدریس به من کرد	5
M Gh	2	29	a	سعید تصمیم گرفت اقامت در ایران کند	7
M Gh	2	30	a	پلیس ناآرامی ها را سرکوب به راحتی کرد	5
M Gh	2	31	a	سیما نگهداری از مادرش می کرد	7
M Gh	2	32	a	پدربزرگم بعد از سالها همچنان عداوت با برادرش می کرد	6
M Gh	2	33	a	دانش آموزان آن را در آزمایشگاه تجزیه به موادش کردند	6
M Gh	2	34	a	شاهین به کمک پدرش تحصیل در آمریکا کرد	6
M Gh	2	35	a	مدیر جدید قوانینی اعمال در سازمان کرد	5
M Gh	2	36	a	دشمن شهر را نابود با بی رحمی کرد	5
M Gh	2	1	b	مریم آرزویی برای من کرد	7
M Gh	2	2	b	علی آهنگی برای من زد	7
M Gh	2	3	b	مادرم دعایی برای من کرد	7
M Gh	2	4	b	حمید تقاضایی از مینا کرد	7
M Gh	2	5	b	حسن شکایتی از همسایه اش کرد	7
M Gh	2	6	b	خبرنگار برداشتی از حرفهای من کرد	6
M Gh	2	7	b	سپیده تحلیلی از مقاله کرد	6
M Gh	2	8	b	سارا انتظاری از من داشت	7
M Gh	2	9	b	همکارم سهمی از شرکت برد	7
M Gh	2	10	b	من خواهشی از مهسا کردم	6
M Gh	2	11	b	الهام عطری به لباسش زد	7
M Gh	2	12	b	محسن اتهامی به من زد	7
M Gh	2	13	b	رضا لبخندی به من زد	7
M Gh	2	14	b	مژگان تهمتی به من زد	7
M Gh	2	15	b	همسرم ضربه ای به من زد	7
M Gh	2	16	b	فرزاد حرفی به من زد	5
M Gh	2	17	b	معلم توصیه ای به من کرد	6
M Gh	2	18	b	کوروش نصیحتی به من کرد	5
M Gh	2	19	b	شبنم پیشنهادی به من داد	7
M Gh	2	20	b	بهنام راهنمایی به من کرد	6
M Gh	2	21	b	همسایه ام تذکری به من داد	7
M Gh	2	22	b	نیما سفارشی به من کرد	7
M Gh	2	23	b	آدم رباها هشداری به من دادند	7
M Gh	2	24	b	فرهاد قولی به من داد	7
M Gh	2	25	b	میترا دروغی به من گفت	6
M Gh	2	26	b	نیلوفر پیشرفتی در مدرسه کرد	5
M Gh	2	27	b	مجید لطفی به من کرد	7
M Gh	2	28	b	استاد صحبتی با شاگردش کرد	5
M Gh	2	29	b	سینا قراری با ندا گذاشت	7
M Gh	2	30	b	من حدسی در مورد ستاره زدم	7
M Gh	2	31	b	پژمان قضاوتی در مورد من کرد	6
M Gh	2	32	b	کاوه حسی در مورد پریسا کرد	4
M Gh	2	33	b	حامد استدلالی در مورد مسئله کرد	6
M Gh	2	34	b	حسین اشتباهی در مورد همسرش کرد	6
M Gh	2	35	b	نازنین تصمیمی در مورد خودش گرفت	6
M Gh	2	36	b	مهدی اعتراضی در دادگاه کرد	3
M Gh	2	1	c	گلناز اتو به لباسش زد	3
M Gh	2	2	c	شهره اتومبیل با دوستش راند	7
M Gh	2	3	c	علیرضا اشک برای مادرش می ریخت	7
M Gh	2	4	c	رئیس امضا برای من کرد	6
M Gh	2	5	c	نرگس آب از خجالت شد	6
M Gh	2	6	c	لاستیک باد از حرارت کرد	6
M Gh	2	7	c	کارگر صیقل به شیشه داد	7
M Gh	2	8	c	"8.	بازیگر گل در سینما کرد"	3
M Gh	2	9	c	راحله گوش به حرفم داد	7
M Gh	2	10	c	گوشهایم یخ در سرما بست	6
M Gh	2	11	c	نوشین زمین با زانو خورد	1
M Gh	2	12	c	همسایه ام در با عجله زد	5
M Gh	2	13	c	لباس ها برق از تمیزی می زد	6
M Gh	2	14	c	مغازه دار تلمبه به دوچرخه زد	7
M Gh	2	15	c	اتفاقی رخ برای من داد	6
M Gh	2	16	c	فرشید شاخ از تعجب درآورد	6
M Gh	2	17	c	درخت سیب شکوفه در باغ داد	6
M Gh	2	18	c	دهانم قفل از ترس شد	6
M Gh	2	19	c	ماهرخ مسکن در پاریس گزید	7
M Gh	2	20	c	مار نیش به من زد	5
M Gh	2	21	c	من خار در جمع شدم	7
M Gh	2	22	c	خواهرم عکس را قاب با سلیقه کرد	3
M Gh	2	23	c	نادر پاکت را قیچی با احتیاط کرد	5
M Gh	2	24	c	سر تیر تا پایش می کشید	1
M Gh	2	25	c	نجار قفسه را تراش با دقت داد	5
M Gh	2	26	c	رویا آتش از عصبانیت گرفت	6
M Gh	2	27	c	امیرعلی درآمدش را دود با هروئین کرد	5
M Gh	2	28	c	شادی موج در چشمهایش می زد	6
M Gh	2	29	c	پلیس راهم را سد با ماشین کرد	6
M Gh	2	30	c	مجری تپق در برنامه زد	7
M Gh	2	31	c	مرتضی ماشینش را پارک جلوی در کرد	5
M Gh	2	32	c	غذای دیروز مزه به من داد	6
M Gh	2	33	c	خاطره ای نقش در ذهنم بست	7
M Gh	2	34	c	من چمدان را وزن با ترازو کردم	6
M Gh	2	35	c	کبوتر تخم در لانه گذاشت	7
M Gh	2	36	c	پونه سرما زیر باران خورد	5
M Gh	2	1	filler	من و بهاره دیروز با هم به مدرسه رفتیم	7
M Gh	2	2	filler	بالاخره داریوش تصمیم گرفت ماشینش را بفروشد	7
M Gh	2	3	filler	دیشب مهمانیِ دوستِ خواهرم خیلی خوش گذشت	7
M Gh	2	4	filler	آیدا باید همه‏ ی لباس‏ هایش را می‏ شست	7
M Gh	2	5	filler	احمد به امید فوتِ پدرش را تسلیت گفت	7
M Gh	2	6	filler	من دیروز همه ‏ی کلوچه ‏ها را خوردم	7
M Gh	2	7	filler	من با کمکِ همسایه دیوارِ حیاط را رنگ کردم	7
M Gh	2	8	filler	من در کودکی خیلی شیطنت می‏ کردم	7
M Gh	2	9	filler	من دیروز با شریکم قرار گذاشتم	7
M Gh	2	10	filler	پریناز دیشب به جشنِ تولدِ دوستش رفت	7
M Gh	2	11	filler	بعد از رفتن پروین آب از آب تکان نخورد	7
M Gh	2	12	filler	نظم این خانه قابل احترام است	7
M Gh	2	13	filler	دکتر گفت می‏ توانم ورزش کنم	7
M Gh	2	14	filler	من همیشه از هواپیما می ‏ترسیدم	7
M Gh	2	15	filler	سیامک روزبه را بخشید	7
M Gh	2	16	filler	پدرِ کیوان ورشکست شد	7
M Gh	2	17	filler	معلم حسابی تشویقم کرد	7
M Gh	2	18	filler	همکلاسیِ من خیلی درس می‏ خواند	7
M Gh	2	19	filler	غزاله دیروز ساعت‏ ها رویِ نیمکتِ پارک نشست	7
M Gh	2	20	filler	تو آدم بی‏ ملاحظه‏ ای هستی	7
M Gh	2	21	filler	زهره در دانشگاهِ آزاد پارسال قبول شد	7
M Gh	2	22	filler	من دیشب به خانه دوستانم را دعوت کردم	6
M Gh	2	23	filler	افسانه  از چیزی هیچ وقت شکایت نمی‏ کرد	7
M Gh	2	24	filler	نوید تصمیم گرفت برود به سربازی	7
M Gh	2	25	filler	خواب عمیقی دیشب کردم	7
M Gh	2	26	filler	من دیروز نخریدم هیچ لباسی	6
M Gh	2	27	filler	دیروز نتوانست داوود سر کار برود	6
M Gh	2	28	filler	زیاد الهه از قبولیش در دانشگاه خوشحال نبود	6
M Gh	2	29	filler	به خانه دخترخاله‏ ام دیشب رفته‏ بودم	6
M Gh	2	30	filler	به رستورانِ همیشگی رفتم من	7
M Gh	2	31	filler	به خاطرِ من پروانه تلویزیون را خاموش کرد	7
M Gh	2	32	filler	سهیل تصمیم گرفته بود که در جریان مادرش را بگذارد	5
M Gh	2	33	filler	خیلی آهنگ پیمان در من اثر گذاشت	7
M Gh	2	34	filler	پشتکار خوبی مهرداد دارد	7
M Gh	2	35	filler	من تماس با دوستم در لندن گرفتم	7
M Gh	2	36	filler	من فوتبالیست هیچ‏ وقت خوبی نبودم	3
M Gh	2	37	filler	ما زیر باران موش آب‏ کشیده آن شب شدیم	6
M Gh	2	38	filler	دیروز غذا مادرم نپخته بود	6
M Gh	2	39	filler	تمامِ روز را میلاد رانندگی کرد	7
M Gh	2	40	filler	من زود دیروز به خانه برگشتم	6
M Gh	2	41	filler	بیژن رادیو اهلِ نیست	1
M Gh	2	42	filler	"42.	شهاب و آوا  از با هم شمال برگشتند"	1
M Gh	2	43	filler	فرید از کار پشیمان خود نبود	1
M Gh	2	44	filler	با دیروز دوستانم به رستوران رفتم	1
M Gh	2	45	filler	محمود خرید مسئول خواروبار بود	1
M Gh	2	46	filler	شیما گم زمان را کرده بود	1
M Gh	2	47	filler	من مونا را دیده همین تازگی ‏ بودم	1
M Gh	2	48	filler	محمد یک به زهرا انگشتر هدیه داد	1
M Gh	2	49	filler	دیشب زیاد اشتها آزاده نداشت	5
M Gh	2	50	filler	من از خوشم شوخیِ دیروزِ سحر نیامد	1
M Gh	2	51	filler	چشم‏های قرمز فریبا شده بود	1
M Gh	2	52	filler	متوجه هانیه اشتباهش شد	1
M Gh	2	53	filler	ابراهیم همان را ادامه کار قدیمی داد	1
M Gh	2	54	filler	فهیمه سر دو هفته پیش کار نرفت	1
M Gh	2	55	filler	دختر خوش ژاله ‏سلیقه ‏ای است	1
M Gh	2	56	filler	برای من اصلا برادرم اهمیت ندارم	1
M Gh	2	57	filler	من مشکل آدم ‏پسندی هستم	1
M Gh	2	58	filler	پدر کیوان محکمی مرد ‏است	1
M Gh	2	59	filler	برگشتنم عجیب برای همه بود	6
M Gh	2	60	filler	خانه ی خیلی مادربزرگم قدیمی است	1
A S	3	1	a	رئیسم مرا اخراج از کار کرد	1
A S	3	2	a	همکارم نامه ای ارسال به من کرد	5
A S	3	3	a	مدیرعامل کارمندان جدیدی استخدام در شرکت کرد	3
A S	3	4	a	دوستم در مورد این خبر اطلاع به من داد	7
A S	3	5	a	استادم نظرش را در مورد این مقاله اظهار به من کرد	2
A S	3	6	a	دانشمندان موادی استخراج از نفت کردند	5
A S	3	7	a	رستوران جدیدی افتتاح در محل شد	2
A S	3	8	a	دخترم کار خود را آغاز در شرکت کرد	1
A S	3	9	a	پدر مرا صبح زود بیدار از خوا ب کرد	7
A S	3	10	a	دوستم سعی می کرد مرا تحریک با حرفهایش کند	3
A S	3	11	a	نسرین بالاخره توانست تحقق به آرزویش ببخشد	5
A S	3	12	a	همسرم دائم نظرش را تحمیل به من می کرد	3
A S	3	13	a	مشاور آینده روشنی را ترسیم برای من کرد	3
A S	3	14	a	شریکم سود شرکت را تقسیم با من کرد	3
A S	3	15	a	کارگردان انتقادی دریافت در مورد فیلم کرد	2
A S	3	16	a	یگان ویژه اعضای مافیا را محاصره با مهارت کرد	3
A S	3	17	a	او در مراسم ظاهر با اعتماد به نفس شد	2
A S	3	18	a	مجلس قانونی تصویب برای خانواده کرد	2
A S	3	19	a	مربی شانس بازیِ دوباره را دریغ از من کرد	3
A S	3	20	a	آوا فرزندش را ترجیح به مادرش داد	2
A S	3	21	a	ویراستار به سلیقه خود تصرف در کتاب کرد	7
A S	3	22	a	هنگامه پولی واریز برای من کرد	5
A S	3	23	a	من دیروز عیادت از خاله ام کردم	5
A S	3	24	a	پسرخاله ام اعزام به سربازی شد	7
A S	3	25	a	مادر سمیه حسابی تدارک برای مراسم دید	6
A S	3	26	a	مداح آیه ای قرائت از قرآن کرد	3
A S	3	27	a	پدر کودکش را حفاظت از خطر کرد	5
A S	3	28	a	معلم نکات آموزنده ای تدریس به من کرد	3
A S	3	29	a	سعید تصمیم گرفت اقامت در ایران کند	5
A S	3	30	a	پلیس ناآرامی ها را سرکوب به راحتی کرد	4
A S	3	31	a	سیما نگهداری از مادرش می کرد	7
A S	3	32	a	پدربزرگم بعد از سالها همچنان عداوت با برادرش می کرد	5
A S	3	33	a	دانش آموزان آن را در آزمایشگاه تجزیه به موادش کردند	5
A S	3	34	a	شاهین به کمک پدرش تحصیل در آمریکا کرد	3
A S	3	35	a	مدیر جدید قوانینی اعمال در سازمان کرد	3
A S	3	36	a	دشمن شهر را نابود با بی رحمی کرد	1
A S	3	1	b	مریم آرزویی برای من کرد	7
A S	3	2	b	علی آهنگی برای من زد	7
A S	3	3	b	مادرم دعایی برای من کرد	7
A S	3	4	b	حمید تقاضایی از مینا کرد	7
A S	3	5	b	حسن شکایتی از همسایه اش کرد	7
A S	3	6	b	خبرنگار برداشتی از حرفهای من کرد	7
A S	3	7	b	سپیده تحلیلی از مقاله کرد	7
A S	3	8	b	سارا انتظاری از من داشت	7
A S	3	9	b	همکارم سهمی از شرکت برد	7
A S	3	10	b	من خواهشی از مهسا کردم	7
A S	3	11	b	الهام عطری به لباسش زد	7
A S	3	12	b	محسن اتهامی به من زد	7
A S	3	13	b	رضا لبخندی به من زد	7
A S	3	14	b	مژگان تهمتی به من زد	7
A S	3	15	b	همسرم ضربه ای به من زد	7
A S	3	16	b	فرزاد حرفی به من زد	7
A S	3	17	b	معلم توصیه ای به من کرد	7
A S	3	18	b	کوروش نصیحتی به من کرد	7
A S	3	19	b	شبنم پیشنهادی به من داد	7
A S	3	20	b	بهنام راهنمایی به من کرد	7
A S	3	21	b	همسایه ام تذکری به من داد	7
A S	3	22	b	نیما سفارشی به من کرد	7
A S	3	23	b	آدم رباها هشداری به من دادند	7
A S	3	24	b	فرهاد قولی به من داد	7
A S	3	25	b	میترا دروغی به من گفت	7
A S	3	26	b	نیلوفر پیشرفتی در مدرسه کرد	6
A S	3	27	b	مجید لطفی به من کرد	7
A S	3	28	b	استاد صحبتی با شاگردش کرد	7
A S	3	29	b	سینا قراری با ندا گذاشت	7
A S	3	30	b	من حدسی در مورد ستاره زدم	7
A S	3	31	b	پژمان قضاوتی در مورد من کرد	7
A S	3	32	b	کاوه حسی در مورد پریسا کرد	2
A S	3	33	b	حامد استدلالی در مورد مسئله کرد	6
A S	3	34	b	حسین اشتباهی در مورد همسرش کرد	7
A S	3	35	b	نازنین تصمیمی در مورد خودش گرفت	7
A S	3	36	b	مهدی اعتراضی در دادگاه کرد	7
A S	3	1	c	گلناز اتو به لباسش زد	5
A S	3	2	c	شهره اتومبیل با دوستش راند	4
A S	3	3	c	علیرضا اشک برای مادرش می ریخت	6
A S	3	4	c	رئیس امضا برای من کرد	4
A S	3	5	c	نرگس آب از خجالت شد	5
A S	3	6	c	لاستیک باد از حرارت کرد	2
A S	3	7	c	کارگر صیقل به شیشه داد	6
A S	3	8	c	"8.	بازیگر گل در سینما کرد"	1
A S	3	9	c	راحله گوش به حرفم داد	7
A S	3	10	c	گوشهایم یخ در سرما بست	3
A S	3	11	c	نوشین زمین با زانو خورد	5
A S	3	12	c	همسایه ام در با عجله زد	4
A S	3	13	c	لباس ها برق از تمیزی می زد	6
A S	3	14	c	مغازه دار تلمبه به دوچرخه زد	3
A S	3	15	c	اتفاقی رخ برای من داد	3
A S	3	16	c	فرشید شاخ از تعجب درآورد	6
A S	3	17	c	درخت سیب شکوفه در باغ داد	2
A S	3	18	c	دهانم قفل از ترس شد	6
A S	3	19	c	ماهرخ مسکن در پاریس گزید	5
A S	3	20	c	مار نیش به من زد	5
A S	3	21	c	من خار در جمع شدم	4
A S	3	22	c	خواهرم عکس را قاب با سلیقه کرد	4
A S	3	23	c	نادر پاکت را قیچی با احتیاط کرد	1
A S	3	24	c	سر تیر تا پایش می کشید	2
A S	3	25	c	نجار قفسه را تراش با دقت داد	3
A S	3	26	c	رویا آتش از عصبانیت گرفت	6
A S	3	27	c	امیرعلی درآمدش را دود با هروئین کرد	4
